year,discipline,gender,athlete,country,result,venue,date
2001,Прыжок в высоту,Мужчины,Vyacheslav VORONIN,RUS,2.37,19 AUG 2001,1242
2001,Прыжок в высоту,Женщины,Venelina VENEVA-MATEEVA,BUL,2.04,02 JUN 2001,1259
2001,Прыжок с шестом,Мужчины,Dmitri MARKOV,AUS,6.05,09 AUG 2001,1281
2001,Прыжок с шестом,Женщины,Stacy DRAGILA,USA,4.81,09 JUN 2001,1211
2001,Прыжок в длину,Мужчины,Iván PEDROSO,CUB,8.43,11 MAR 2001,1232
2001,Прыжок в длину,Женщины,Tatyana KOTOVA,RUS,7.12,09 JUN 2001,1244
2001,Тройной прыжок,Мужчины,Jonathan EDWARDS,GBR,17.92,06 AUG 2001,1263
2001,Тройной прыжок,Женщины,Tatyana LEBEDEVA,RUS,15.25,10 AUG 2001,1250
